metric_code         , metric_name                                    , hexaly_value_dataset_1, mathopt_value_dataset_1, hexaly_value_dataset_2, mathopt_value_dataset_2, hexaly_value_dataset_3, mathopt_value_dataset_3, hexaly_value_dataset_4, mathopt_value_dataset_4, hexaly_value_dataset_5, mathopt_value_dataset_5, hexaly_value_dataset_6, mathopt_value_dataset_6, hexaly_value_dataset_7, mathopt_value_dataset_7, hexaly_value_dataset_8, mathopt_value_dataset_8
Activity Stat.8     , Activity 'CLD' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 3.00                  , 3.00                   , 3.00                  , 3.00                   , 2.36                  , 2.36                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'ZB' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , 6.00                  , 6.00                   , 6.00                  , 6.00                   , 3.86                  , 2.94                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.1       , Office 'soins' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 6.00                  , 6.00                   , 6.00                  , 6.00                   , 6.82                  , 9.73                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'TSY' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 0.13                  , 0.13                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'TSY' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 0.17                  , 0.17                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'ZB' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 6.82                  , 9.73                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'J3' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.50                  , 1.50                   , ###                   , ###
Activity Stat.8     , Activity 'J4' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.00                  , 1.00                   , ###                   , ###
Activity Stat.8     , Activity 'J3' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.50                  , 1.50                   , ###                   , ###
Activity Stat.8     , Activity 'J4' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.00                  , 1.00                   , ###                   , ###
